run_name,best_val_acc,best_val_loss,data_dir,batch_size,epochs,num_workers,seed,lr,weight_decay,base_channels,fc_units,dropout,norm,log_root
lr=0.001_fc=32_norm=batchnorm,0.68125,0.7475032210350037,data/processed/cifar3,64,5,2,42,0.001,0.0001,16,32,0.0,batchnorm,runs/grid
lr=0.003_fc=64_norm=batchnorm,0.68125,0.746524774034818,data/processed/cifar3,64,5,2,42,0.003,0.0001,16,64,0.0,batchnorm,runs/grid
lr=0.001_fc=128_norm=batchnorm,0.68125,0.7799549500147501,data/processed/cifar3,64,5,2,42,0.001,0.0001,16,128,0.0,batchnorm,runs/grid
lr=0.001_fc=64_norm=batchnorm,0.6791666666666667,0.7129792829354604,data/processed/cifar3,64,5,2,42,0.001,0.0001,16,64,0.0,batchnorm,runs/grid
lr=0.01_fc=128_norm=batchnorm,0.65625,0.868707533677419,data/processed/cifar3,64,5,2,42,0.01,0.0001,16,128,0.0,batchnorm,runs/grid
lr=0.003_fc=128_norm=batchnorm,0.65,0.8180701533953348,data/processed/cifar3,64,5,2,42,0.003,0.0001,16,128,0.0,batchnorm,runs/grid
lr=0.003_fc=32_norm=batchnorm,0.6375,0.7779431064923604,data/processed/cifar3,64,5,2,42,0.003,0.0001,16,32,0.0,batchnorm,runs/grid
lr=0.003_fc=64_norm=None,0.6270833333333333,0.8088999629020691,data/processed/cifar3,64,5,2,42,0.003,0.0001,16,64,0.0,,runs/grid
lr=0.01_fc=64_norm=batchnorm,0.625,0.8569426099459331,data/processed/cifar3,64,5,2,42,0.01,0.0001,16,64,0.0,batchnorm,runs/grid
lr=0.003_fc=32_norm=None,0.6229166666666667,0.7848205010096232,data/processed/cifar3,64,5,2,42,0.003,0.0001,16,32,0.0,,runs/grid
lr=0.003_fc=128_norm=None,0.6166666666666667,0.7910363932450613,data/processed/cifar3,64,5,2,42,0.003,0.0001,16,128,0.0,,runs/grid
lr=0.01_fc=32_norm=batchnorm,0.6166666666666667,0.870158044497172,data/processed/cifar3,64,5,2,42,0.01,0.0001,16,32,0.0,batchnorm,runs/grid
lr=0.001_fc=64_norm=None,0.60625,0.8207056283950805,data/processed/cifar3,64,5,2,42,0.001,0.0001,16,64,0.0,,runs/grid
lr=0.001_fc=32_norm=None,0.6041666666666666,0.8387861728668213,data/processed/cifar3,64,5,2,42,0.001,0.0001,16,32,0.0,,runs/grid
lr=0.001_fc=128_norm=None,0.5958333333333333,0.8433127045631409,data/processed/cifar3,64,5,2,42,0.001,0.0001,16,128,0.0,,runs/grid
lr=0.01_fc=128_norm=None,0.5479166666666667,0.9158715407053629,data/processed/cifar3,64,5,2,42,0.01,0.0001,16,128,0.0,,runs/grid
lr=0.01_fc=64_norm=None,0.525,0.8889037211736043,data/processed/cifar3,64,5,2,42,0.01,0.0001,16,64,0.0,,runs/grid
lr=0.01_fc=32_norm=None,0.3333333333333333,1.0986474752426147,data/processed/cifar3,64,5,2,42,0.01,0.0001,16,32,0.0,,runs/grid
